model,coordinate,kx,t_nu,abscissa,normalized_distribution,p_max,j_max
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.2999999999999998,0.8063719329819614,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.375,0.8808227119397974,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.44999999999999973,0.9405544248046188,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.5249999999999999,0.9810015232202014,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.5999999999999996,0.9999999999995027,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.6749999999999998,0.9972914796872322,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.75,0.9741315052561234,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.8249999999999997,0.9329362725471297,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.8999999999999999,0.8769370201068571,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,0.9749999999999996,0.8098365447820327,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.0499999999999998,0.7354782002579232,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.125,0.6575465092732683,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.2000000000000002,0.5793211877033538,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.2749999999999995,0.5035033897225232,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.3499999999999996,0.43212514215382775,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.4249999999999998,0.3665418554300014,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.5,0.3074958909710246,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.5750000000000002,0.25522928679658075,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.6499999999999995,0.20961854031135077,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.7249999999999996,0.1703053549053575,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.7999999999999998,0.13680407767269157,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.875,0.1085767338026631,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,1.9500000000000002,0.08507656058335594,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,2.0249999999999995,0.06576777516958701,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,2.0999999999999996,0.05013176970655238,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,2.175,0.03766867613650885,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,2.25,0.027899969154902664,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,2.325,0.020374191869528723,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,2.3999999999999995,0.01467513563553367,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,2.4749999999999996,0.010430345316114925,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,2.55,0.00731760792348452,24,10
original_sugama,parallel,0.19999999999999998,5.001708725685093,2.625,0.005067784222064008,24,10
